condition_id,agent_type,agent_label,task_id,task_type,server,execution_mode,server_load_level,servers,repetition,model_id,temperature,success,error,input_tokens,output_tokens,total_tokens,total_latency_ms,tool_call_count,tool_call_success_count,tool_call_success_rate,tool_selection_correctness,task_success,task_grade,response_length,trace_event_count,completed_at
A3_T2-MCP-6_minimal_r1,multi_agent_mcp,A3,T2-MCP-6,T2,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,24913,3216,28129,53632.22081698768,12,8,0.6666666666666666,1.0,True,1.0,1658,27,2026-03-20T03:18:54.101761+00:00
A3_T2-MCP-6_moderate_r1,multi_agent_mcp,A3,T2-MCP-6,T2,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,9009,1506,10515,24275.157511001453,4,4,1.0,1.0,False,0.7,1645,16,2026-03-20T03:19:24.763541+00:00
A3_T2-MCP-6_maximal_r1,multi_agent_mcp,A3,T2-MCP-6,T2,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8970,1474,10444,24058.811176990275,4,4,1.0,1.0,False,0.7,1526,16,2026-03-20T03:19:56.007260+00:00
A1_T3-MCP-7_minimal_r1,mcp,A1,T3-MCP-7,T3,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,22598,766,23364,17882.683217001613,5,5,1.0,1.0,True,1.0,677,14,2026-03-20T03:24:37.131515+00:00
A1_T3-MCP-7_moderate_r1,mcp,A1,T3-MCP-7,T3,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,45071,795,45866,20239.36184300692,5,5,1.0,1.0,True,1.0,678,14,2026-03-20T03:25:06.862384+00:00
A1_T3-MCP-7_maximal_r1,mcp,A1,T3-MCP-7,T3,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,45064,789,45853,20711.803593003424,5,5,1.0,1.0,True,1.0,636,14,2026-03-20T03:25:37.158738+00:00
A3_T3-MCP-7_minimal_r1,multi_agent_mcp,A3,T3-MCP-7,T3,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,23939,1123,25062,27273.681470993324,6,6,1.0,1.0,True,1.0,704,20,2026-03-20T03:30:25.061278+00:00
A3_T3-MCP-7_moderate_r1,multi_agent_mcp,A3,T3-MCP-7,T3,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,24104,1136,25240,28661.344972002556,6,6,1.0,1.0,True,1.0,746,20,2026-03-20T03:31:01.920203+00:00
A3_T3-MCP-7_maximal_r1,multi_agent_mcp,A3,T3-MCP-7,T3,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,24085,1113,25198,29240.94026398961,6,6,1.0,1.0,True,1.0,745,20,2026-03-20T03:31:38.717561+00:00
A1_T3-MCP-8_minimal_r1,mcp,A1,T3-MCP-8,T3,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,16434,1315,17749,32515.142930991715,6,6,1.0,1.0,False,0.7,817,19,2026-03-20T03:41:47.877579+00:00
A1_T3-MCP-8_moderate_r1,mcp,A1,T3-MCP-8,T3,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,42667,1377,44044,35091.814348998014,6,6,1.0,1.0,False,0.7,929,19,2026-03-20T03:42:33.074227+00:00
A1_T3-MCP-8_maximal_r1,mcp,A1,T3-MCP-8,T3,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,42715,1419,44134,41348.16181100905,6,6,1.0,1.0,False,0.6,816,19,2026-03-20T03:43:24.266153+00:00
A3_T3-MCP-8_minimal_r1,multi_agent_mcp,A3,T3-MCP-8,T3,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,36497,5495,41992,113269.80371699028,17,16,0.9411764705882352,0.0,True,1.0,1192,40,2026-03-20T03:50:19.947441+00:00
A3_T3-MCP-8_moderate_r1,multi_agent_mcp,A3,T3-MCP-8,T3,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,26610,2752,29362,63517.0471540041,11,10,0.9090909090909092,1.0,False,0.3,987,30,2026-03-20T03:51:30.303750+00:00
A3_T3-MCP-8_maximal_r1,multi_agent_mcp,A3,T3-MCP-8,T3,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,23940,3128,27068,75601.17245199217,13,12,0.9230769230769232,0.0,False,0.6,846,30,2026-03-20T03:52:52.621728+00:00
A1_T3-MCP-9_minimal_r1,mcp,A1,T3-MCP-9,T3,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,14092,984,15076,23170.72200999246,7,7,1.0,1.0,False,0.7,847,21,2026-03-20T04:07:11.683381+00:00
A1_T3-MCP-9_moderate_r1,mcp,A1,T3-MCP-9,T3,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,36585,862,37447,27623.88167899917,6,6,1.0,1.0,False,0.7,974,19,2026-03-20T04:07:49.740178+00:00
A1_T3-MCP-9_maximal_r1,mcp,A1,T3-MCP-9,T3,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,37422,855,38277,23228.019219008274,6,6,1.0,1.0,False,0.7,1015,19,2026-03-20T04:08:23.809400+00:00
A3_T3-MCP-9_minimal_r1,multi_agent_mcp,A3,T3-MCP-9,T3,postgres,MCP,minimal,postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,11925,1170,13095,24495.914636005185,7,7,1.0,1.0,False,0.6,975,25,2026-03-20T04:14:20.744884+00:00
A3_T3-MCP-9_moderate_r1,multi_agent_mcp,A3,T3-MCP-9,T3,postgres,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,13342,1432,14774,29756.037180006388,7,7,1.0,1.0,False,0.7,1114,24,2026-03-20T04:14:56.843784+00:00
A3_T3-MCP-9_maximal_r1,multi_agent_mcp,A3,T3-MCP-9,T3,postgres,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,12711,1239,13950,26661.800928995945,7,7,1.0,1.0,False,0.6,1023,25,2026-03-20T04:15:31.009832+00:00
A1_T2-MCP-1_minimal_r1,mcp,A1,T2-MCP-1,T2,cross_server,MCP,minimal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19831,448,20279,11906.664962996729,3,3,1.0,1.0,False,0.3,245,10,2026-03-20T04:21:42.696995+00:00
A1_T2-MCP-1_moderate_r1,mcp,A1,T2-MCP-1,T2,cross_server,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19827,440,20267,11312.88067199057,3,3,1.0,1.0,False,0.3,227,10,2026-03-20T04:22:04.299560+00:00
A1_T2-MCP-1_maximal_r1,mcp,A1,T2-MCP-1,T2,cross_server,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19910,482,20392,12437.25779801025,3,3,1.0,1.0,False,0.3,212,10,2026-03-20T04:22:25.934363+00:00
A3_T2-MCP-1_minimal_r1,multi_agent_mcp,A3,T2-MCP-1,T2,cross_server,MCP,minimal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10708,838,11546,19686.92917500448,5,5,1.0,1.0,False,0.3,491,19,2026-03-20T04:24:48.565045+00:00
A3_T2-MCP-1_moderate_r1,multi_agent_mcp,A3,T2-MCP-1,T2,cross_server,MCP,moderate,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,7627,746,8373,35540.59876600513,5,5,1.0,1.0,False,0.3,217,19,2026-03-20T04:25:35.345540+00:00
A3_T2-MCP-1_maximal_r1,multi_agent_mcp,A3,T2-MCP-1,T2,cross_server,MCP,maximal,postgres;lastfm,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,581,65,646,2218.211083993083,0,0,1.0,0.0,False,0.0,301,1,2026-03-20T04:25:43.509898+00:00
A1_T2-MCP-2_minimal_r1,mcp,A1,T2-MCP-2,T2,cross_server,MCP,minimal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,26230,614,26844,15998.3005910035,4,4,1.0,1.0,True,1.0,889,13,2026-03-20T04:30:07.188614+00:00
A1_T2-MCP-2_moderate_r1,mcp,A1,T2-MCP-2,T2,cross_server,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,26234,587,26821,16511.58738299273,4,4,1.0,1.0,True,1.0,771,13,2026-03-20T04:30:33.315218+00:00
A1_T2-MCP-2_maximal_r1,mcp,A1,T2-MCP-2,T2,cross_server,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,26230,582,26812,15783.109133000837,4,4,1.0,1.0,True,1.0,731,13,2026-03-20T04:30:58.516796+00:00
A3_T2-MCP-2_minimal_r1,multi_agent_mcp,A3,T2-MCP-2,T2,cross_server,MCP,minimal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19153,1187,20340,26937.743678994597,7,7,1.0,1.0,True,1.0,745,28,2026-03-20T04:35:43.253903+00:00
A3_T2-MCP-2_moderate_r1,multi_agent_mcp,A3,T2-MCP-2,T2,cross_server,MCP,moderate,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19146,1183,20329,28088.84597099677,7,7,1.0,1.0,True,1.0,724,28,2026-03-20T04:36:20.398740+00:00
A3_T2-MCP-2_maximal_r1,multi_agent_mcp,A3,T2-MCP-2,T2,cross_server,MCP,maximal,lastfm;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19175,1207,20382,26911.234887011236,7,7,1.0,1.0,True,1.0,763,28,2026-03-20T04:36:56.262676+00:00
A1_T2-MCP-3_minimal_r1,mcp,A1,T2-MCP-3,T2,cross_server,MCP,minimal,lastfm;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,52308,1196,53504,22181.697010004427,3,3,1.0,1.0,True,1.0,1464,10,2026-03-20T04:42:23.053941+00:00
A1_T2-MCP-3_moderate_r1,mcp,A1,T2-MCP-3,T2,cross_server,MCP,moderate,lastfm;devtoolkit;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,53367,1187,54554,22259.14534299227,3,3,1.0,1.0,True,1.0,1462,10,2026-03-20T04:42:51.208966+00:00
A1_T2-MCP-3_maximal_r1,mcp,A1,T2-MCP-3,T2,cross_server,MCP,maximal,lastfm;devtoolkit;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,53367,1090,54457,20547.118759001023,3,3,1.0,1.0,True,1.0,1109,10,2026-03-20T04:43:18.384089+00:00
A3_T2-MCP-3_minimal_r1,multi_agent_mcp,A3,T2-MCP-3,T2,cross_server,MCP,minimal,lastfm;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,28951,1450,30401,25261.450887002866,4,4,1.0,1.0,True,1.0,759,19,2026-03-20T04:45:48.608637+00:00
A3_T2-MCP-3_moderate_r1,multi_agent_mcp,A3,T2-MCP-3,T2,cross_server,MCP,moderate,lastfm;devtoolkit;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,30018,2111,32129,30606.053472001804,4,4,1.0,1.0,True,1.0,869,19,2026-03-20T04:46:25.458531+00:00
A3_T2-MCP-3_maximal_r1,multi_agent_mcp,A3,T2-MCP-3,T2,cross_server,MCP,maximal,lastfm;devtoolkit;postgres,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,29950,2126,32076,29600.474680002662,4,4,1.0,1.0,True,1.0,997,19,2026-03-20T04:47:01.118032+00:00
A1_T1-MCP-1_minimal_r1,mcp,A1,T1-MCP-1,T1,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,4051,321,4372,7340.750199999093,1,1,1.0,1.0,True,1.0,760,4,2026-03-20T19:23:32.216137+00:00
A1_T1-MCP-1_moderate_r1,mcp,A1,T1-MCP-1,T1,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,21624,571,22195,12775.221500000043,1,1,1.0,1.0,True,1.0,1218,4,2026-03-20T19:23:52.709228+00:00
A1_T1-MCP-1_maximal_r1,mcp,A1,T1-MCP-1,T1,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,26265,789,27054,14646.094200001244,1,1,1.0,1.0,True,1.0,1956,4,2026-03-20T19:24:20.602135+00:00
A3_T1-MCP-1_minimal_r1,multi_agent_mcp,A3,T1-MCP-1,T1,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,5333,643,5976,12954.649899998913,2,2,1.0,1.0,True,1.0,806,10,2026-03-20T19:26:37.677330+00:00
A3_T1-MCP-1_moderate_r1,multi_agent_mcp,A3,T1-MCP-1,T1,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,5658,619,6277,11959.560999999669,2,2,1.0,1.0,True,1.0,784,10,2026-03-20T19:26:57.568302+00:00
A3_T1-MCP-1_maximal_r1,multi_agent_mcp,A3,T1-MCP-1,T1,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,6340,1052,7392,16560.727199999747,2,2,1.0,1.0,True,1.0,941,10,2026-03-20T19:27:26.593467+00:00
A1_T1-MCP-2_minimal_r1,mcp,A1,T1-MCP-2,T1,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8481,886,9367,19354.99439999876,1,1,1.0,1.0,True,1.0,1941,4,2026-03-20T19:30:10.713869+00:00
A1_T1-MCP-2_moderate_r1,mcp,A1,T1-MCP-2,T1,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,26051,884,26935,16105.487700000594,1,1,1.0,1.0,True,1.0,1915,4,2026-03-20T19:30:35.051354+00:00
A1_T1-MCP-2_maximal_r1,mcp,A1,T1-MCP-2,T1,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,30701,880,31581,16615.873500000816,1,1,1.0,1.0,True,1.0,1935,4,2026-03-20T19:31:03.927792+00:00
A3_T1-MCP-2_minimal_r1,multi_agent_mcp,A3,T1-MCP-2,T1,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10330,1743,12073,28536.31489999861,2,2,1.0,1.0,True,1.0,1860,10,2026-03-20T19:33:24.929786+00:00
A3_T1-MCP-2_moderate_r1,multi_agent_mcp,A3,T1-MCP-2,T1,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,10663,1761,12424,27054.56630000117,2,2,1.0,1.0,True,1.0,1924,10,2026-03-20T19:34:00.605893+00:00
A3_T1-MCP-2_maximal_r1,multi_agent_mcp,A3,T1-MCP-2,T1,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,11100,1753,12853,28308.74630000108,2,2,1.0,1.0,True,1.0,1925,10,2026-03-20T19:34:41.634897+00:00
A1_T1-MCP-3_minimal_r1,mcp,A1,T1-MCP-3,T1,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,2640,276,2916,6221.604899999875,1,1,1.0,1.0,True,1.0,657,4,2026-03-20T19:42:28.412917+00:00
A1_T1-MCP-3_moderate_r1,mcp,A1,T1-MCP-3,T1,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,20131,273,20404,8267.824100001235,1,1,1.0,1.0,True,1.0,623,4,2026-03-20T19:42:44.670358+00:00
A1_T1-MCP-3_maximal_r1,mcp,A1,T1-MCP-3,T1,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,24790,266,25056,8073.956199999884,1,1,1.0,1.0,True,1.0,596,4,2026-03-20T19:43:04.525361+00:00
A3_T1-MCP-3_minimal_r1,multi_agent_mcp,A3,T1-MCP-3,T1,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,3699,483,4182,10275.815399998464,2,2,1.0,1.0,True,1.0,641,10,2026-03-20T19:44:35.861986+00:00
A3_T1-MCP-3_moderate_r1,multi_agent_mcp,A3,T1-MCP-3,T1,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,4008,465,4473,9906.266900001356,2,2,1.0,1.0,True,1.0,561,10,2026-03-20T19:44:53.651251+00:00
A3_T1-MCP-3_maximal_r1,multi_agent_mcp,A3,T1-MCP-3,T1,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,4585,546,5131,10842.899100000068,2,2,1.0,1.0,True,1.0,608,10,2026-03-20T19:45:17.321504+00:00
A1_T2-MCP-4_minimal_r1,mcp,A1,T2-MCP-4,T2,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,6904,496,7400,12027.97979999923,2,2,1.0,1.0,True,1.0,709,7,2026-03-20T19:47:38.932925+00:00
A1_T2-MCP-4_moderate_r1,mcp,A1,T2-MCP-4,T2,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,33163,414,33577,12775.592100000722,2,2,1.0,1.0,True,1.0,628,7,2026-03-20T19:47:59.615579+00:00
A1_T2-MCP-4_maximal_r1,mcp,A1,T2-MCP-4,T2,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,40138,431,40569,12242.58749999899,2,2,1.0,1.0,True,1.0,664,7,2026-03-20T19:48:23.687573+00:00
A3_T2-MCP-4_minimal_r1,multi_agent_mcp,A3,T2-MCP-4,T2,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,8101,737,8838,15086.319800000638,3,3,1.0,1.0,True,1.0,639,13,2026-03-20T19:51:21.666805+00:00
A3_T2-MCP-4_moderate_r1,multi_agent_mcp,A3,T2-MCP-4,T2,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,21726,2132,23858,43809.52389999948,8,8,1.0,0.0,True,0.95,993,25,2026-03-20T19:52:14.216593+00:00
A3_T2-MCP-4_maximal_r1,multi_agent_mcp,A3,T2-MCP-4,T2,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,16374,1781,18155,33948.554099999456,6,6,1.0,0.0,True,0.95,1019,20,2026-03-20T19:53:02.023170+00:00
A1_T2-MCP-5_minimal_r1,mcp,A1,T2-MCP-5,T2,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,15647,454,16101,10541.086900000664,2,2,1.0,1.0,True,1.0,813,7,2026-03-20T19:56:51.752437+00:00
A1_T2-MCP-5_moderate_r1,mcp,A1,T2-MCP-5,T2,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,42268,438,42706,12449.637800000346,2,2,1.0,1.0,True,1.0,769,7,2026-03-20T19:57:12.217924+00:00
A1_T2-MCP-5_maximal_r1,mcp,A1,T2-MCP-5,T2,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,48964,469,49433,13779.792699999234,2,2,1.0,1.0,True,1.0,820,7,2026-03-20T19:57:38.204447+00:00
A3_T2-MCP-5_minimal_r1,multi_agent_mcp,A3,T2-MCP-5,T2,cocktails,MCP,minimal,cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,16935,762,17697,17369.906100000662,3,3,1.0,1.0,True,1.0,803,13,2026-03-20T19:59:54.835448+00:00
A3_T2-MCP-5_moderate_r1,multi_agent_mcp,A3,T2-MCP-5,T2,cocktails,MCP,moderate,cocktails;alphavantage;devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,17266,797,18063,16566.29929999872,3,3,1.0,1.0,True,1.0,896,13,2026-03-20T20:00:19.504381+00:00
A3_T2-MCP-5_maximal_r1,multi_agent_mcp,A3,T2-MCP-5,T2,cocktails,MCP,maximal,cocktails;alphavantage;devtoolkit;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,15427,1606,17033,30542.93510000025,4,4,1.0,0.0,True,0.95,930,15,2026-03-20T20:01:02.901944+00:00
A1_T3-MCP-1_minimal_r1,mcp,A1,T3-MCP-1,T3,devtoolkit,MCP,minimal,devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,16626,132,16758,5639.1392000005,1,1,1.0,1.0,True,1.0,248,4,2026-03-20T20:03:27.762085+00:00
A1_T3-MCP-1_moderate_r1,mcp,A1,T3-MCP-1,T3,devtoolkit,MCP,moderate,devtoolkit;alphavantage;cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19885,134,20019,6064.852800000153,1,1,1.0,1.0,True,1.0,277,4,2026-03-20T20:03:41.121467+00:00
A1_T3-MCP-1_maximal_r1,mcp,A1,T3-MCP-1,T3,devtoolkit,MCP,maximal,devtoolkit;alphavantage;cocktails;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,24534,123,24657,5636.470300001747,1,1,1.0,1.0,True,1.0,217,4,2026-03-20T20:03:58.992050+00:00
A3_T3-MCP-1_minimal_r1,multi_agent_mcp,A3,T3-MCP-1,T3,devtoolkit,MCP,minimal,devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,17731,285,18016,8909.453299998859,2,2,1.0,1.0,True,1.0,291,10,2026-03-20T20:05:15.980188+00:00
A3_T3-MCP-1_moderate_r1,multi_agent_mcp,A3,T3-MCP-1,T3,devtoolkit,MCP,moderate,devtoolkit;alphavantage;cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,18065,271,18336,9197.938200002682,2,2,1.0,1.0,True,1.0,196,10,2026-03-20T20:05:33.089033+00:00
A3_T3-MCP-1_maximal_r1,multi_agent_mcp,A3,T3-MCP-1,T3,devtoolkit,MCP,maximal,devtoolkit;alphavantage;cocktails;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,18507,288,18795,9383.419499998126,2,2,1.0,1.0,True,1.0,273,10,2026-03-20T20:05:55.028970+00:00
A1_T3-MCP-2_minimal_r1,mcp,A1,T3-MCP-2,T3,devtoolkit,MCP,minimal,devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,16665,207,16872,5754.524199997832,1,1,1.0,1.0,True,1.0,440,4,2026-03-20T20:07:24.263217+00:00
A1_T3-MCP-2_moderate_r1,mcp,A1,T3-MCP-2,T3,devtoolkit,MCP,moderate,devtoolkit;alphavantage;cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19922,166,20088,5331.924800000706,1,1,1.0,1.0,True,1.0,277,4,2026-03-20T20:07:37.361340+00:00
A1_T3-MCP-2_maximal_r1,mcp,A1,T3-MCP-2,T3,devtoolkit,MCP,maximal,devtoolkit;alphavantage;cocktails;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,24572,167,24739,6602.308400000766,1,1,1.0,1.0,True,1.0,282,4,2026-03-20T20:07:55.506152+00:00
A3_T3-MCP-2_minimal_r1,multi_agent_mcp,A3,T3-MCP-2,T3,devtoolkit,MCP,minimal,devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,17870,430,18300,10444.567100003042,2,2,1.0,1.0,True,1.0,410,10,2026-03-20T20:09:14.849557+00:00
A3_T3-MCP-2_moderate_r1,multi_agent_mcp,A3,T3-MCP-2,T3,devtoolkit,MCP,moderate,devtoolkit;alphavantage;cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,18165,368,18533,9611.27299999862,2,2,1.0,1.0,True,1.0,282,10,2026-03-20T20:09:33.077121+00:00
A3_T3-MCP-2_maximal_r1,multi_agent_mcp,A3,T3-MCP-2,T3,devtoolkit,MCP,maximal,devtoolkit;alphavantage;cocktails;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,18611,371,18982,9451.675899999827,2,2,1.0,1.0,True,1.0,283,10,2026-03-20T20:09:55.302671+00:00
A1_T3-MCP-3_minimal_r1,mcp,A1,T3-MCP-3,T3,devtoolkit,MCP,minimal,devtoolkit,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,16618,125,16743,4771.766300000309,1,1,1.0,1.0,True,1.0,107,4,2026-03-20T20:11:25.808931+00:00
A1_T3-MCP-3_moderate_r1,mcp,A1,T3-MCP-3,T3,devtoolkit,MCP,moderate,devtoolkit;alphavantage;cocktails,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,19876,124,20000,5440.082700002677,1,1,1.0,1.0,True,1.0,102,4,2026-03-20T20:11:38.469291+00:00
A1_T3-MCP-3_maximal_r1,mcp,A1,T3-MCP-3,T3,devtoolkit,MCP,maximal,devtoolkit;alphavantage;cocktails;morse;nasa;nutrition,1,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0.2,True,,24526,125,24651,5271.5606999991,1,1,1.0,1.0,True,1.0,107,4,2026-03-20T20:11:56.275952+00:00
